Il,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Adana,1879695,1899324,1916637,1933428,1951142,1969512,1988277,2006650,2026319,2062226,2085225
Adiyaman,568432,571180,573149,574886,576808,578852,580926,582762,585067,588475,590935
Afyonkarahisar,696292,698029,698773,699193,699794,700502,701204,701572,697365,701326,697559
Agri,519190,521514,523123,524514,526070,527732,529417,530879,532180,537665,542022
Aksaray,351474,353939,355942,357819,359834,361941,364089,366109,370598,376907,377505
Amasya,333927,333768,333110,332271,331491,330739,329956,328674,323675,324268,334786
Ankara,3889199,3971642,4050309,4128889,4210596,4294678,4380736,4466756,4548939,4650802,4771716
Antalya,1430539,1480282,1529110,1578367,1629338,1681656,1735239,1789295,1859275,1919729,1978333
Ardahan,122409,121305,119993,118590,117178,115750,114283,112721,112242,108169,105454
Artvin,167909,168184,168215,168164,168153,168164,168170,168092,166584,165580,164759
Aydin,870460,881911,892345,902594,913340,924446,935800,946971,965500,979155,989862
Balikesir,1069260,1077362,1084072,1090411,1097187,1104261,1111475,1118313,1130276,1140085,1152323
Bartin,175982,177060,177903,178678,179519,180401,181300,182131,185368,188449,187758
Batman,408820,418186,427172,436165,445508,455118,464954,472487,485616,497998,510200
Bayburt,75221,75517,75709,75868,76050,76246,76444,76609,75675,74710,74412
Bilecik,197625,198736,199580,200346,201182,202063,202960,203777,193169,202061,225381
Bingol,240337,242183,243717,245168,246718,248336,249986,251552,256091,255745,255170
Bitlis,318886,320555,321791,322898,324114,325401,326709,327886,326897,328489,328767
Bolu,255576,257926,259953,261902,263967,266114,268305,270417,268882,271545,271208
Burdur,246060,247106,247811,248412,249090,249816,250552,251181,247437,251550,258868
Bursa,2150571,2192169,2231582,2270852,2311735,2353834,2396916,2439876,2507963,2550645,2605495
Canakkale,449418,453632,457280,460792,464511,468375,472320,476128,474791,477735,490397
Cankiri,169044,169955,170637,171252,171924,172635,173358,174012,176093,185019,179067
Corum,567609,566094,563698,560968,558300,555649,552911,549828,545444,540704,535405
Denizli,845493,854958,863396,871614,880267,889229,898387,907325,917836,926362,931823
Diyarbakir,1317750,1338378,1357550,1376518,1396333,1416775,1437684,1460714,1492828,1515011,1528958
Duzce,296712,300686,304316,307884,311623,315487,319438,323328,328611,335156,338188
Edirne,392134,393292,393896,394320,394852,395449,396047,396462,394644,395463,390428
Elazig,517551,521467,524710,527774,531048,534467,537954,541258,547562,550667,552646
Erzincan,206815,208015,208937,209779,210694,211658,212639,213538,210645,213288,224949
Erzurum,801287,800311,798119,795482,792968,790505,787952,784941,774967,774207,769085
Eskisehir,651672,662354,672328,682212,692529,703168,714051,724849,741739,755427,764584
Gaziantep,1292817,1330205,1366581,1403165,1441079,1480026,1519905,1560023,1612223,1653670,1700763
Giresun,410946,412428,413335,414062,414909,415830,416760,417505,421766,421860,419256
Gumushane,116008,118147,120166,122175,124267,126423,128628,130825,131367,130976,129618
Hakkari,223264,226676,229839,232966,236234,239606,243055,246469,258590,256761,251302
Hatay,1280457,1296401,1310828,1324961,1339798,1355144,1370831,1386224,1413287,1448418,1480571
Igdir,174285,175550,176588,177563,178609,179701,180815,181866,184025,183486,184418
Isparta,418507,419307,419505,419502,419601,419758,419905,419845,407463,420796,448298
Istanbul,11076840,11292009,11495948,11699172,11910733,12128577,12351506,12573836,12697164,12915158,13255685
Izmir,3431204,3477209,3519233,3560544,3603838,3648575,3694316,3739353,3795978,3868308,3948848
Kahramanmaras,937074,947317,956417,965268,974592,984254,994126,1004414,1029298,1037491,1044816
Karabuk,205172,207241,209056,210812,212667,214591,216557,218463,216248,218564,227610
Karaman,214461,216318,217902,219417,221026,222700,224409,226049,230145,231872,232633
Kars,326292,324908,323005,320898,318812,316723,314570,312205,312128,306536,301766
Kastamonu,351582,353271,354479,355541,356719,357972,359243,360366,360424,359823,361222
Kayseri,1038671,1056995,1074221,1091336,1109179,1127566,1146378,1165088,1184386,1205872,1234651
Kilis,109698,111024,112219,113387,114615,115886,117185,118457,120991,122104,123135
Kirikkale,287427,286900,285933,284803,283711,282633,281518,280234,279325,280834,276647
Kirklareli,323427,325213,326561,327782,329116,330523,331955,333256,336942,333179,332791
Kirsehir,221473,222028,222267,222403,222596,222824,223050,223170,222735,223102,221876
Kocaeli,1192053,1226460,1259932,1293594,1328481,1364317,1401013,1437926,1490358,1522408,1560138
Konya,1835987,1855057,1871862,1888154,1905345,1923174,1941386,1959082,1969868,1992675,2013845
Kutahya,592921,592607,591405,589883,588464,587092,585666,583910,565884,571804,590496
Malatya,685533,691399,696387,701155,706222,711496,716879,722065,733789,736884,740643
Manisa,1276590,1284241,1290180,1295630,1301542,1307760,1314090,1319920,1316750,1331957,1379484
Mardin,709316,715211,720195,724946,730002,735267,740641,745778,750697,737852,744606
Mersin,1488755,1505196,1519824,1534060,1549054,1564588,1580460,1595938,1602908,1640888,1647899
Mugla,663606,678204,692171,706136,720650,735582,750865,766156,791424,802381,817503
Mus,403236,404138,404462,404596,404832,405127,405416,405509,404309,404484,406886
Nevsehir,275262,276309,276971,277514,278138,278814,279498,280058,281699,284025,282337
Nigde,321330,323181,324600,325894,327302,328786,330295,331677,338447,339921,337931
Ordu,705746,708079,709420,710444,711670,713018,714375,715409,719278,723507,719183
Osmaniye,411163,417418,423214,428943,434930,441108,447428,452880,464704,471804,479221
Rize,307133,308800,310052,311181,312417,313722,315049,316252,319410,319569,319637
Sakarya,750485,762848,774397,785845,797793,810112,822715,835222,851292,861570,872872
Samsun,1191926,1198574,1203611,1208179,1213165,1218424,1223774,1228959,1233677,1250076,1252693
Sanliurfa,1257753,1294842,1330964,1367305,1404961,1443639,1483244,1523099,1574224,1613737,1663371
Siirt,270832,273982,276806,279562,282461,285462,288529,291528,299819,303622,300695
Sinop,194318,195151,195715,196196,196739,197319,197908,198412,200791,201134,202740
Sirnak,362700,370314,377574,384824,392364,400123,408065,416001,429287,430424,430109
Sivas,651825,650946,649078,646845,644709,642614,640442,638464,631112,633347,642224
Tekirdag,577812,598658,619152,639837,661237,683199,705692,728396,770772,783310,798109
Tokat,641033,639371,636715,633682,630722,627781,624744,620722,617158,624439,617802
Trabzon,720620,724340,727080,729529,732221,735072,737969,740569,748982,765127,763714
Tunceli,82554,82871,83074,83241,83433,83640,83849,84022,86449,83061,76699
Usak,320535,322814,324673,326417,328287,330243,332237,334115,334111,335860,338019
Van,895836,908296,919727,930984,942771,954945,967394,979671,1004369,1022310,1035418
Yalova,144923,150027,155041,160099,165333,170705,176207,181758,197412,202531,203741
Yozgat,544446,538313,531220,523696,516096,508398,500487,492127,484206,487365,476096
Zonguldak,630323,629346,627407,625114,622912,620744,618500,615890,619151,619812,619703
Total Population,64729506,65603160,66401855,67187252,68010217,68860542,69729968,70586256,71517100,72561312,73722988
Average Population,799130,809916,819776,829472,839632,850130,860864,871435,882927,895819,910160
Number of Cities have more than 1000000 population,17,17,17,17,17,17,17,18,19,19,19
